id	title	author	date	a	b	x	v
260669	The knight of St. John, a romance. By Miss Anna Maria Porter, author of ""The Recluse of Norway,"" &c. &c. &c. In three volumes. Vol. I.	Porter, Anna Maria	1817	['Mr Grayson']	['Ink']		['v.2']
260682	The itinerant; or, memoirs of an actor. Second edition. In three volumes. Vol. I. By S.W. Ryley.	Ryley, S. W	1817	['Edwin Forrest']	['Ink']	['Located on title page.']	['v.1']
260685	Coelebs in search of a wife. Comprehending observations on domestic habits and manners, religion and morals. The Fourteenth edition. In two volumes. Vol. I.	More, Hannah	1813	['Harriet Elliott Wilson']	['Ink']	['On blank page preceding full title page']	['v.2.', 'v.1']
260726	The Messiah: Attempted from the German of Mr. Klopstock. By Joseph Collyer. In Fifteen Books. Two Vols. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['[Illegible]']	['Ink']	['On full title page']	['v.2']
260734	The captivity and deliverance of Mr. John Williams, pastor of the church in Deerfield, and Mrs. Mary Rowlandson, of Lancaster, who were taken, together with their families and neighbors, by the French and Indians, and carried into Canada. Written by themselves.	Williams, John	1811	['Charles E. Norton']		['Written in ink at the top right-hand corner of the verso of the blank page preceding the title page.']	
260741	The works of Hannah More, including several pieces never before published. Vol. I.	More, Hannah	1818		['Ink']		['v.1']
260745	An interesting account of the voyages and travels of Captains Lewis and Clarke, in the years 1804-5, & 6.  Giving a faithful description of the river Missouri and its source--of the various tribes of Indians through which they passed--manners and customs--soil--climate--commerce--gold and silver mines--animal and vegetable productions: interspersed with very entertaining anecdotes, and a variety of other useful and pleasing information, remarkably calculated to delight and instruct the readers. To which is added a complete dictionary of the Indian tongue.  By William Fisher, Esq.		1813	['Daniel Stitt Harding, his book -- Bought December 6th, 1814 -- Price one dollar.']	['Ink']		
260755	The coquette; or, the history of Eliza Wharton. A novel: founded on fact. By a lady of Massachusetts. Third edition. Published according to Act of Congress.	Foster, Hannah Webster	1811	['This book was bought in the year 1815 for 75 cents.']			
260759	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['J.A. Diffenbach (?)']	['Pencil']	['Inscription is smudged and difficult to make out.']	['v.1']
260761	Think's-I-to-myself. A serio-ludicro, tragico-comico tale, written by Think's-I-to-myself who?  In two volumes.  Vol. I.	Nares, Edward	1811		['Ink']		
260779	Bath and London; or, scenes in each. A novel. In four volumes. Vol. I.		1811		['Ink']		['v.1']
260788	Tales from Shakespeare, designed for the use of young persons. By Charles Lamb. In two volumes. Vol. I.	Lamb, Charles	1813	['Sarah J. Lovering']	['Ink']	['Located at the top of the title page.']	['v.1']
260795	Tales of my landlord, third series, collected and arranged by Jedediah Cleishbotham, schoolmaster and parish-clerk of Gandercleugh. In four volumes. Vol. I.	Scott, Walter	1819		['Crayon']		['v.1']
260801	Christmas tales, for the amusement & instruction of young ladies and gentlemen in winter evenings. With cuts by Bewick.		1811	['[Illegible name]']	['Ink']	['On the blank page that comes after the advertisement in the back.']	
260818	The adultress; or, anecdotes of two noble families. A tale. In four volumes. By an english-woman. Vol. I.		1810	['[Illegible]']	['Ink']	['On first page of text']	['v.1', 'v.2', 'v.3', 'v.4']
260825	The wars of the gulls; an historical romance. In three chapters. Chap. I. Shewing how, and why, and with whom the Gulls went to war. Chap. II. Shewing how the Gulls make the deep to boil like a pot. Chap. III. Shewing how a certain doughty general of the Gulls goes forth to play the game of hull-gull in Upper Canada, ""And from the pinnacle of glory, --- falls headlong into purgatory.""	Bigelow, Jacob	1812	['By Jacob Bigelow, + Nathan Hale']	['Pencil']		
260833	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['C.P.']	['Ink']	['At the bottom of p. 100']	['v.1', 'v.2', 'v.3']
260834	Rob Roy. By the Author of ""Waverley,"" ""Guy Mannering,"" and ""The Antiquary."" In three Volumes. Vol. I.	Scott, Walter	1818	['C.P.']	['Ink']	['At the bottom of p. 100']	['v.1', 'v.2', 'v.3']
