id	title	author	date	a	b	v	x
260503	Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I	Manley	1720	['Ink']	['Words']	['v.1', 'v.2']	
260674	A journey to the world under-ground. By Nicholas Klimius. Translated from the original.	Holberg, Ludvig	1742	['Ink']	['Words']		['Reads, ""This is a translation from the Latin of Lewis Holberg"" on the verso of the front blank page"']
260690	Memoirs of the love and state-intrigues of the court of H-----; from the marriage of the princess of Z--------, to the tragical death of Count K-----k: a home-truth.		1743	['Pencil']	['Words']		['Title page has penciled marginalia. H--------- is ""Hanover"", Z------ is ""Zelle"", and K--------k is ""Konigsmarck"']
260708	The history of Tom Jones, a foundling. Vol. VI. By Henry Fielding, Esq.	Fielding, Henry	1749	['Ink']	['Words']	['v.1']	['Notes taken on the front free endpaper.']
260710	Dalinda: or, the double mariage. Being the genuine history of a very recent and interesting adventure. Addressed to all the young and gay of both sexes.		1749	['Ink']	['Words']		['Verso of blank page facing title page', '""The case of Mr. Cresswell and Mrs. Scroop"']
260711	The history of the human heart: or, the adventures of a young gentleman.		1749	['Ink']	['Words']		['""This is the only copy I have ever seen it has passed five times through my hands being originally purchased in Bindon (?) Book sale, sold to Mr Jasker repurchased at his sale and sold to George Smith and at his sale rebought""', 'First blank page"']
260867	Memoirs of an unfortunate young nobleman, return'd from a thirteen years slavery in America, where he had been sent by the wicked contrivances of his cruel uncle. A story founded on truth and address'd equally to the head and heart.	Annesley, James	1743	['Ink']	['Words']		['Notes located on the half title and on a blank leaf at the front of the volume.']
260923	The true anti-Pamela: or, memoirs of Mr. James Parry, late organist of Ross in Herefordshire. In which are inserted, his amours with the celebrated Miss ----- of Monmouthshire. Written by himself. Interspers'd with many curious and entertaining love-letters which passed between them. The second edition, carefully revised. [ Price three shillings.]		1742	['Ink']	['Words']		['Fills in the blank after ""Miss"" on the title page with ""Powell"".', 'Occurs in other places in the book"']
276073	Miscellaneous works, comical & diverting: by T.R.D.J.S.D.O.P.I.I. In two parts. I. The tale of a tub; with the fragment, & and the battel of the books; with c considerable additions, explanatory notes, never before printed. II. Miscellanies in prose and verse, by the supposed author of the first part.	Swift, Jonathan	1720	['Ink']	['Words']		['""\'Swift constantly depreciated and maligned Dryden\' Josh Warton 2. 248"" -full quoted text"']
276128	The history of Eliza Warwick. In two volumes. Vol. I.		1778	['Pencil']	['Editorial markings']	['v.1']	['Lines in the margins marking certain passages.']
276157	The devil turn'd hermit, or, the adventures of Astaroth banish'd from hell. A satirical romance. Exposing, with great variety of humour, in a series of conversations between that demon and the author, -- The scandalous frauds, lewd amours, and devout mockery of the monks and nuns; the intrigues of courts; the ambition, avarice, and cruelty of ministers; the insincerity, luxury, prostitution, and ingratitude of many private characters; with other capital vices of the present age. Founded chiefly on real facts, and interspersed with the portraits and secret history of most of the considerable persons that have lived in Europe within these thirty years past. Translated from the original French of Mr. de M * * *.	Lambert de Saumery, Pierre	1741	['Ink']	['Words']	['v.1', 'v.2']	['Illegible E Libris on the title page']
340844	The advantages of deliberation; or, the folly of indiscretion. In two volumes. Vol. I.		1772	['Pencil']	['Words']	['v.2']	['What a charming man. What happiness.']
340850	The adventures of a hackney coach. The fourth edition corrected.		1781	['Pencil']	['Drawings']		['Scribbling on the last page of text and on the advertisement pasted on the back pastedown.']
341318	The adventures of Roderick Random. In two volumes. Vol. I. The eighth edition.	Smollett, Tobias George	1770	['Ink']	['Letters']	['v.1']	['Unclear, possibly reads ""y/o""', 'on top right of front free endpaper"']
341350	The cautious lover: or, the history of Lord Woburn. By a young gentleman of Oxford. In two volumes. Vol. I.	Young Gentleman of Oxford	1773	['Pencil']	['Words']		['On recto of front free endpaper']
341364	Chrysal: or, the adventures of a guinea. Wherein are exhibited views of several striking scenes: with curious and interesting anecdotes of the most noted persons in every rank of life, whose hands it passed through, in America, England, Holland, Germany and Portugal. By an adept. Vol. I.	Johnstone, Charles	1775	['Pencil']	['Numbers']	['v.4']	
341366	A collection of novels, selected and revised by Mrs. Griffith. Vol. I.		1777	['Pencil']	['Editorial markings']	['v.1']	['Check marks in margins of ""Oroonoko""."']
341367	Colonel Ormsby; or the genuine history of an Irish nobleman, in the French service. Vol. I.		1781	['Pencil']	['Words']	['v.2']	['Next to an authorial/editorial note stating a time lapse of two years between letters, a pencilled margin note reads, ""the author slept then two years I suppose""."']
341376	Coombe Wood. A novel: in a series of letters. By the author of Barford-Abbey and The cottage. Vol. I.	Gunning	1783	['Pencil']	['Editorial markings']	['v.2']	['Lines in the margin marking certain passages.']
341378	Correspondents, an original novel; in a series of letters. A new edition.		1776	['Ink']	['Words']		['On title page below ""in a series of letters"" it has been written ""between Lord Littleton & Mrs. Peach,"" and below publication information it has been written ""Mrs. Peach after Lord Littleton\'s death married his son."']
341400	The distressed orphan, or love in a mad house; containing an account of her being left to the care of an uncle who would have married her contrary to her inclination, to his own son, and on her refusal to comply, and having fixed her heart on a colonel, when was sent to a mad-house, where she continued till her faithful lover sham'd himself mad, and by that means obtained her liberty. Interspersed with a great many entertaining letters.	Haywood, Eliza Fowler	1770	['Ink']	['Numbers']		['On last page of ""Lausus and Lydia,"" short story bound at end of ""The distressed orphan"']
341403	The double disappointment; or, the history of Charles Marlow. In a series of letters. In two volumes. Vol. I.		1774	['Pencil']	['Words']		['Extensive notes fill the front pastedown', 'Within text, vertical lines in the margins marking certain passages.']
341406	The history of Eliza Musgrove. In two volumes. Vol. I.		1770	['Pencil']	['Sketches']	['v.1', 'v.2']	['On blank front- and end-papers']
341415	Epistles for ladies. By the authors of The female spectator. [epigraph]. A new edition. In two volumes. Vol. I.	Haywood, Eliza Fowler	1776	['Pencil']	['Editorial markings']	['v.1']	['Lines in margins marking certain passages.']
341419	The excursion. In two volumes. By Mrs. Brooke, author of the history of Lady Julia Mandeville, and of Emily Montague. Vol. I.	Brooke, Frances	1777	['Ink']	['Words']	['v.1']	['Letters written on verso of last page of text and on verso of back free endpaper.']
341420	The exemplary mother: or, letters between Mrs. Villars and her family. New edition. In two volumes. Vol. I.	Cooper, Maria Susanna	1784		['Ink']	['v.1', 'v.2']	['Words on front free endpaper and title page have been crossed out']
341422	The fashionable friend: a novel. In two volumes. Vol. I.	Bonhote	1773	['Ink']	['Numbers']	['v.1']	['On front pastedown, reads ""6/"']
341436	The female spectator. By Mrs. Eliza Haywood. The seventh edition. In four volumes. Volume I.	Haywood, Eliza Fowler	1771	['Ink']	['Letters']	['v.1']	['Reads ""y/ao""', 'On verso of title page, in the center of page"']
341441	Female stability: or, the history of Miss Belville. In a series of letters by the late Miss Palmer. Vol. I.	Palmer, Charlotte	1780	['Pencil']	['Words']	['v.1', 'v.2', 'v.3', 'v.4', 'v.5']	
341458	The history of Miss Lucinda Courtney; in a series of letters; written by herself, to her friend Miss Constantia Bellmour. A new edition. In three volumes. Vol. I.	Author of Lucinda Courtney	1773	['Pencil']	['Editorial markings']	['v.3']	['Check marks next to certain titles in the advertisement at the back of volume three']
341462	The history of the famous preacher Friar Gerund de Campazas: otherwise Gerund Zotes. Translated from the Spanish. In two volumes. Vol. I.	Isla, JoseÃÅ Francisco de	1772	['Pencil']	['Numbers']	['v.2']	['On title page of volume two, ""1772?"" pencilled in underneath publication information."']
341475	The invisibe spy. By Explorabilis. In two volumes. Vol. I. A new edition.	Haywood, Eliza Fowler	1773	['Ink']	['Words', 'Numbers', 'Editorial markings']	['v.1', 'v.2']	['Extensive notes on front and back pastedowns and front and back endpapers of both volumes.']
341482	Julia de Roubigné, a tale. In a series of letters. Published by the author of the Man of Feeling, and the Man of the World. In two volumes. Vol. I.	Mackenzie, Henry	1777	['Pencil']	['Words']	['v.1', 'v.2']	['On recto of front free end paper', 'Mainly notes about and summary of work']
341483	Julia de Roubigné, a tale. In a series of letters. Published by the author of The man of feeling, and The man of the world. In two volumes. Vol. I. The third edition.	Mackenzie, Henry	1781	['Pencil']	['Words']	['v.1', 'v.2']	['On back free endpaper of both volumes.']
341506	Letters between two lovers, and their friends. By the author of Letters supposed to have been written by Yorick and Eliza. In three volumes. Vol. I.	Combe, William	1781	['Pencil']	['Editorial markings']	['v.3']	['Several words crossed out in the text']
341508	Letters from Clara: or, the effusions of the heart. Vol. I.	Clara	1771	['Ink']	['Words']	['v.1']	['On title page', 'Insertion of ""nonsensical"" in the title so that title reads ""...the nonsensical effusions of the heart""', 'One other word, illegible, after ""effusions"" in the title."']
